year,temperature
1961,0.207
1962,0.034
1963,0.159
1964,-0.253
1965,-0.226
1966,0.201
1967,-0.114
1968,-0.12
1969,-0.09
1970,0.153
1971,-0.092
1972,-0.195
1973,0.275
1974,-0.181
1975,0.09
1976,-0.311
1977,0.271
1978,0.004
1979,0.225
1980,0.33
1981,0.439
1982,0.078
1983,0.452
1984,0.12
1985,-0.034
1986,0.238
1987,0.391
1988,0.549
1989,0.326
1990,0.636
1991,0.458
1992,0.183
1993,0.346
1994,0.501
1995,0.831
1996,0.354
1997,0.656
1998,0.992
1999,0.788
2000,0.735
2001,0.836
2002,1.018
2003,0.896
2004,0.914
2005,1.103
2006,1.001
2007,1.198
2008,0.938
2009,0.967
2010,1.228
2011,0.923
2012,1.081
2013,1.021
2014,1.052
2015,1.419
2016,1.674
2017,1.44
2018,1.301
2019,1.473
